Concept1,Concept2,Concept1_URI_withoutiid,Concept2_URI_withoutiid,internal_ID_for_concept1,internal_ID_for_concept2,Code_Concept1,Code_Concept2,Definition_Concept1,Definition_Concept2,concept1_mandatory_or_not,concept2_mandatory_or_not,Relation_URI,Concept_1_URL,Concept_2_URL
Meningioma Ontology,Assessing MRI Sequences,Meningioma_Ontology,Assessing_MRI_Sequences,M_Meningioma_0,M_Meningioma_0,,NCIT_C115501,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",A collection of magnetic resonance image files pertaining to a clinical study.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C115501
Meningioma Ontology,CT finding,Meningioma_Ontology,CT_finding,M_Meningioma_0,M_Meningioma_1,,NCIT_C115499,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",A collection of computed tomography files pertaining to a clinical study.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C115499
Meningioma Ontology,Description of lesion,Meningioma_Ontology,Description_of_lesion,M_Meningioma_0,M_Meningioma_2,,NCIT_C3824,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C3824
Meningioma Ontology,Histopathological details,Meningioma_Ontology,Histopathological_details,M_Meningioma_0,M_Meningioma_3,,NCIT_C18190,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",The microscopic study of characteristic tissue abnormalities by employing various cytochemical and immunocytochemical stains.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C18190
Meningioma Ontology,MR imaging equipment utilized,Meningioma_Ontology,MR_imaging_equipment_utilized,M_Meningioma_0,M_Meningioma_4,,NCIT_C115501,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",A collection of magnetic resonance image files pertaining to a clinical study.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C115501
Meningioma Ontology,MRI Features,Meningioma_Ontology,MRI_Features,M_Meningioma_0,M_Meningioma_5,,,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","In a clinical MRI study comprising a collection of MRI image files, a feature refers to a distinctive, measurable attributeâ€”such as volume, shape, intensity histogram statistics, or texture heterogeneityâ€”extracted from those images to characterize tissue properties quantitatively. These radiomic features are used in computational analyses, often combined with clinical or molecular data, to support diagnostic, prognostic, or predictive tasks",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,https://pubmed.ncbi.nlm.nih.gov/32060219/
Meningioma Ontology,Operative Details,Meningioma_Ontology,Operative_Details,M_Meningioma_0,M_Meningioma_6,,NCIT_C15329,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C15329
Meningioma Ontology,Patient investigations,Meningioma_Ontology,Patient_investigations,M_Meningioma_0,M_Meningioma_7,,NCIT_C142430,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","Any experiment that involves a test article and one or more human subjects, and must either meet the requirements for prior submission to the FDA or the results of which are to be submitted to or inspected by the FDA later as part of an application for a research or marketing permit.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C142430
Meningioma Ontology,Quality assessment of MRI scanners,Meningioma_Ontology,Quality_assessment_of_MRI_scanners,M_Meningioma_0,M_Meningioma_8,,NCIT_C25283,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",An essential and distinguishing attribute of something or someone; a degree or grade of excellence or worth.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C25283
Meningioma Ontology,drugs intake,Meningioma_Ontology,drugs_intake,M_Meningioma_0,M_Meningioma_9,,NCIT_C78139,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","A laboratory test of biological material such as blood, urine, hair, saliva or sweat, used to detect the presence of a drug or its metabolites with in the body.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C78139
